fold,model,mae,rmse,wape_pct,mape_pct,r2,median_ae,p95_ae
october,core_lightgbm_l1,107.6936798278799,646.2815980441397,4.526748812000629,5.312032110987964,0.8212357908712451,34.8010948960864,152.18412598692788
october,core_catboost_mae,110.20885537187303,647.4726930714704,4.632470595525352,5.365254718480036,0.8205762598822277,34.39178406376095,174.59174219229317
october,core_ensemble_50_50,105.98560122496455,646.3775748508297,4.454952186619192,5.206329472336275,0.8211826917516943,32.119892994134716,154.2446822467618
